PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,rand
74,r1b5/7p/pp4pk/2qpQn1r/8/PBN2P1P/1PP3P1/3RR2K w - - 3 24,e5d5 f5g3 h1h2 h5h3 g2h3 c5f2,2475,82,93,3447,kingsideAttack long mate mateIn3 middlegame sacrifice,0.389146171
75,2kr4/p1p2pQp/1pP1p3/PP4r1/7q/7P/5PP1/R4RK1 w - - 1 26,g7f7 h4h3 g2g3 g5h5 f7h5 h3h5 a5b6 c7b6,2043,79,92,3412,advantage endgame pin veryLong,0.654089227
76,2k4r/Qp3p2/2p3pp/4q3/8/5P2/Pr3P1P/3RR2K b - - 1 25,e5c7 a7d4 h8d8 d4b2,2072,74,92,3404,crushing endgame fork short,0.335875132
77,3r2k1/3B1pp1/p7/Pp3Q1p/5n2/q6P/8/2KRR3 w - - 4 38,c1d2 a3b2 d2e3 f4g2 e3f3 g2h4,2354,76,92,3370,crushing exposedKing fork long middlegame,0.641518631
78,r2qr1k1/p4p1p/2Q1b1pB/2P1b3/4p3/8/P3BPPP/2R2RK1 w - - 4 18,e2b5 d8h4 g2g3 h4h6,2043,77,94,3354,crushing master middlegame short,0.138025824
79,r3r1k1/p4ppp/8/3Q4/3P4/Ppp2N2/K1b2PPP/3R3R w - - 0 24,a2a1 b3b2 a1a2 c2d1 h1d1 c3c2,2370,78,93,3312,advancedPawn advantage long middlegame,0.737416634
80,4kR2/1b1pb2p/pQ2N3/4P1rq/3n3P/8/PPP3P1/R6K b - - 6 25,e7f8 b6d8 e8f7 d8f6 f7g8 f6f8,2447,80,94,3228,long mate mateIn3 middlegame,0.738641807
81,r1bk1bnr/pp1pqpp1/2n4p/1NpQ4/2B1PB2/5N2/PP3PPP/R3K2R b KQ - 5 9,g8f6 f4c7 d8e8 b5d6 e7d6 d5f7,2086,76,94,3198,attackingF2F7 deflection long mate mateIn3 middlegame sacrifice,0.349033972
82,2k4r/ppp3r1/3b1B2/4R3/1P2N1P1/P2P1p2/2P1n2P/5R1K b - - 4 31,d6e5 f6e5 h8h2 e5h2,2117,74,93,3182,crushing master middlegame short,0.736920281
83,2r2rk1/pp2qp2/4p3/3p2P1/3P4/P1N4Q/1PP5/1R4K1 b - - 0 30,e7g5 g1h1 g5g6 b1g1 g8g7 g1g6,2001,74,95,3158,advantage clearance defensiveMove endgame long pin,0.337461061
84,1rbq1k1r/p1p3pp/2nbPpn1/3N4/3P4/2P2Q2/PP3PPP/R1B1R1K1 b - - 2 18,c6e7 f3f6 g7f6 c1h6 f8g8 d5f6,2496,84,93,3148,intermezzo long mate mateIn3 opening sacrifice,0.549486633
85,8/r3k1p1/4p3/ppQb2N1/2pP2pP/2P5/PP1q1rP1/1K2R2R b - - 8 29,e7f6 e1e6 d5e6 g5e4,2475,77,91,3127,crushing middlegame sacrifice short,0.954913067
86,3q1rk1/4pp2/3p2P1/1p1Q4/p1r1P1p1/P1N5/1PP5/2KR4 b - - 0 24,e7e6 d5h5 g8g7 h5h7,2023,78,92,3089,crushing endgame short,0.397411368
87,r2qk2r/p1p2ppp/2pb1n2/3p4/2P2Qb1/1PN1P3/PB3PPP/R3KB1R w KQkq - 4 12,f4g5 h7h6 g5g7 h8h7 g7h7 f6h7,2173,76,96,3067,advantage clearance long master middlegame trappedPiece,0.352213293
88,r5k1/1p3pp1/p1nQ3p/1q6/3BrP2/1P6/1PP4P/1K1R3R w - - 0 24,d4g7 e4e6 d6c7 g8g7,2453,78,92,2969,advantage intermezzo middlegame short,0.474777392
89,8/5k2/7p/p1P1bPpP/Pp2P3/1P1pBK2/8/8 w - - 1 47,e3f2 g5g4 f3e3 e5d4 e3d3 d4f2,2309,83,93,2944,bishopEndgame crushing deflection endgame long master skewer,0.051124401
90,2r1kb1r/ppq2ppp/2n1p3/3pPn2/N2P4/4BN2/PP2QPPP/2R2RK1 w k - 9 14,c1c2 c6d4 f3d4 f5d4 e3d4 c7c2 e2b5 c2c6,2003,76,95,2941,crushing fork master middlegame veryLong,0.678503244
91,r1bqn1k1/4prbp/p1p3p1/3p4/5P2/1BN5/PPP3PP/R1BQR1K1 b - - 1 14,d8c7 c3d5 c6d5 d1d5 e7e6 d5a8,2196,74,95,2940,crushing long opening,0.438540513
92,3r4/b1p2r1k/p6p/1p2Bp2/1P1p1P2/P2B4/2P2P1P/6RK b - - 3 30,c7c6 d3f5 f7f5 g1g7 h7h8 g7d7 h8g8 d7d8,2116,81,91,2929,advantage discoveredAttack endgame fork sacrifice veryLong,0.680660183
93,R7/7k/5K2/4P3/6r1/7p/8/8 w - - 0 51,a8a3 g4g6 f6f7 h3h2 a3h3 g6h6 h3h2 h6h2 e5e6 h2f2,2504,78,94,2925,advancedPawn crushing endgame master rookEndgame veryLong,0.28272886
94,1r1r3k/1R1b2p1/4pn1p/p6q/3p1P2/P2B2Q1/1P4PP/4BR1K w - - 1 27,e1a5 h5a5 b7b8 d8b8,2072,74,92,2915,crushing hangingPiece middlegame short,0.714767306
95,1k6/1Pp1rqp1/p1R5/6pp/Q6P/1P6/P4PBK/3r4 b - - 5 34,e7e6 a4c4 e6c6 c4f7,2401,73,92,2892,crushing endgame short,0.093334386
96,4r1k1/ppp2q1p/2n5/2Pb1pp1/Q7/2P1p1P1/PP1NPP1P/4RRK1 w - - 0 20,d2f3 d5f3 e2f3 e3e2 e1e2 e8e2,2150,76,94,2861,advancedPawn advantage long middlegame,0.349711338
97,2r3k1/2r2p2/p3pp1p/1p1p4/2n5/P1R4P/1P3KP1/1B1NR3 b - - 3 28,c4b2 c3g3 g8f8 d1b2,2285,75,92,2830,advantage intermezzo master middlegame short,0.068296125
98,5r2/4Qpk1/6p1/qp1p1bNn/3P3P/pPr2P2/P3N3/K2R2R1 b - - 3 27,a5c7 g5e6 f5e6 g1g6 g7h7 g6h6 h7h6 e7g5 h6h7 g5h5,2226,74,91,2821,attraction crushing deflection discoveredAttack master middlegame pin sacrifice veryLong,0.948049213
99,r5k1/4p1b1/p2qN1p1/1p1P3p/1Pp3b1/Q1N3P1/P4rBP/4R2K b - - 3 30,g7e5 c3e4 d6b6 e4f2 b6f2 e1e5 f2d2 a3e3,2226,76,93,2783,advantage discoveredAttack fork middlegame veryLong,0.687743357
100,r1b1kb1r/pp1ppppp/1qn2n2/8/3P1B2/5N2/PPPN1PPP/R2QKB1R b KQkq - 6 6,b6b2 d2c4 b2b4 c2c3 b4c3 f4d2,2587,77,93,2732,advantage defensiveMove long opening,0.706117326
101,8/8/p7/3b4/1P1k1p1p/P1N2P2/5K2/8 w - - 2 42,c3d5 d4d5 f2g2 d5c4 g2h3 c4b3,2202,76,93,2695,crushing endgame long,0.809351168
