PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
71,2kr3r/ppp2ppp/2nbp3/6B1/P2P2n1/2N2N1q/1PP1BP2/R2QR1K1 w - - 2 14,e2f1 d6h2 g1h1 g4f2,1289,76,94,9168,deflection kingsideAttack mate mateIn2 middlegame short
72,8/1R6/p1pk4/6bp/1QP5/P7/KP6/3r2q1 b - - 2 44,g1c5 b7d7 d6d7 b4c5,1088,77,93,3325,advantage deflection endgame short
73,7R/1K3p2/6k1/PP4p1/8/6rp/8/8 b - - 2 47,g5g4 a5a6 h3h2 h8h2,1776,78,93,4138,crushing endgame rookEndgame short
74,4B3/8/1p5p/2pk1bp1/PP1p1p2/2P2P1P/3K2P1/8 b - - 0 40,d5c4 e8f7 f5e6 f7e6,1730,78,95,14187,bishopEndgame endgame mate mateIn2 short
75,6k1/2q4p/p3p1p1/3pP3/1prP1R2/2P5/PP3QP1/6K1 b - - 3 28,b4c3 f4f8 g8g7 f2f6,1137,76,95,7793,crushing endgame short
76,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1359,74,96,22117,advantage endgame short
77,r5r1/p1p2p1k/2p2p1p/3b1N2/6R1/3n3P/PPP2PP1/R1B3K1 w - - 4 20,g4h4 g8g2 g1f1 g2f2,1148,73,95,3635,crushing kingsideAttack middlegame short
78,8/pkp4p/1p6/8/5nP1/4R2P/P2r4/2R3K1 w - - 2 26,h3h4 f4e2 e3e2 d2e2,1765,75,92,3447,advantage endgame fork short
79,r3r1k1/pp2qp1p/3b2p1/3p4/3P2n1/1PN5/PBP1BPPP/R2QK2R w KQ - 6 15,h2h3 g4f2 e1f2 e7e3 f2f1 d6g3,1965,78,94,5369,advantage attackingF2F7 attraction defensiveMove long middlegame sacrifice
80,r2qk2r/4bppp/p3bn2/1p2N3/5B2/2N5/PP3PPP/R2QR1K1 b kq - 1 19,e8g8 e5c6 d8e8 c6e7 e8e7 f4d6 e7d8 d6f8,1938,74,94,3332,advantage kingsideAttack opening skewer veryLong
81,1Rb1r1k1/5p2/3p2p1/4b2p/2Pp3P/3P1BPq/3BPP2/3Q2K1 w - - 4 30,d1f1 h3f1 g1f1 c8h3,1343,76,95,10953,attraction crushing kingsideAttack master middlegame short
82,1r3bk1/5p2/3P1qRP/r1n1p3/ppB5/P2Q1P2/1PP5/1K6 b - - 0 35,g8h7 g6g7 h7h6 d3h7,1864,73,96,12687,doubleCheck mate mateIn2 middlegame short
83,r1b1k2r/pp2qppp/2nppn2/3p4/3P1B2/4PN2/PPP2PPP/R2QKB1R w KQkq - 1 8,f1d3 e6e5 f4g5 e5e4 d3e2 e4f3,1608,74,95,12927,advantage fork long opening
84,8/8/2p3p1/p1k4p/P3Pp1P/3K1P2/8/8 b - - 1 41,c5b4 e4e5 b4c5 d3e4,1873,79,79,171193,advantage endgame pawnEndgame quietMove short zugzwang
