PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
33,1r4k1/p4ppp/4p3/p5n1/4P3/1P1N1PPq/QB3b1P/R5K1 w - - 0 30,d3f2 g5f3 g1h1 h3h2,954,80,96,502,kingsideAttack mate mateIn2 middlegame short
34,r7/6kp/pp1bp3/2p2r2/2P1Q3/1P3P2/P3KP2/7R w - - 1 29,e4e6 f5e5 e6e5 d6e5,706,91,96,798,advantage endgame fork short
35,5rk1/pp3ppp/8/3qr3/4p2P/P1P4Q/1P3PP1/1R2R1K1 b - - 0 25,d5d3 h3d3 e4d3 e1e5,824,79,96,2445,crushing endgame short
36,2r3R1/5p2/4bB1k/5p2/6p1/P7/8/5K2 w - - 4 42,g8c8 e6c8,781,129,-43,19,crushing endgame oneMove
37,5rk1/ppq3pR/4p1r1/3p4/8/2P4Q/PP3RPP/6K1 b - - 0 22,c7c5 h7h8,989,77,89,74,endgame mate mateIn1 oneMove
38,5qk1/p2nN1pp/5r2/1p1p2N1/2pP4/2P5/PPQ3PP/5RK1 b - - 0 24,f8e7 c2h7 g8f8 h7h8,847,78,98,2890,endgame kingsideAttack mate mateIn2 short
39,5Qkr/p4p2/1q2pPp1/4P1p1/3p2N1/7P/PP3PK1/2R5 b - - 0 28,g8f8 c1c8 b6d8 c8d8,622,102,75,226,endgame mate mateIn2 short
40,8/5k2/1P4R1/6PK/1r6/8/8/8 w - - 1 58,h5h6 b4h4,755,119,67,56,endgame mate mateIn1 oneMove rookEndgame
41,3Q3k/1pb2rpp/p5q1/3Q3n/8/1PN1P2P/1PP3P1/R6K b - - 0 30,c7d8 d5d8 f7f8 d8f8,696,104,62,139,mate mateIn2 middlegame short
42,5rk1/3q1p1p/3p2p1/2pN1P2/6P1/2P1BN2/1b1K3P/3R4 b - - 0 22,g6f5 d5f6 g8g7 f6d7,827,87,97,1367,crushing fork master middlegame short
43,3k1r2/ppq5/2pb4/3p2p1/PP1P3p/2P1P3/2Q3PP/R3B1K1 w - - 1 23,h2h3 d6h2 g1h1 f8f1,874,76,93,70,endgame kingsideAttack mate mateIn2 short
44,4R3/8/2n3pp/pp6/1k6/1P1P3P/P3KP2/8 w - - 6 50,e8e6 c6d4 e2e3 d4e6,672,94,82,148,crushing endgame fork short
45,5q2/5rk1/3p1np1/p1p5/1pP2NP1/3PNp1P/PP5K/3Q4 b - - 1 30,f6d7 f4e6 g7g8 e6f8,735,84,95,2106,crushing endgame fork short
46,r1bq1k1r/p2p1pb1/2B3pp/2p1Pp2/5B1P/2P2N2/PP1Q1PP1/R3K2R b KQ - 0 15,d7c6 d2d8,603,99,76,149,hangingPiece mate mateIn1 middlegame oneMove
47,1kr5/6RP/1pp5/7r/p1P5/8/PP3PP1/6K1 b - - 3 45,c8h8 g7g8 b8c7 g8h8,977,99,95,253,crushing endgame rookEndgame short
48,2r5/QR2bkpp/2qp4/3n1p2/3Bp3/8/P4PPP/5RK1 w - - 1 32,f1b1 c6c1 b1c1 c8c1,648,97,96,710,backRankMate mate mateIn2 middlegame sacrifice short
49,8/8/8/1R3p2/1P6/6k1/r6p/7K w - - 2 50,b5f5 a2a1 f5f1 a1f1,449,95,78,186,endgame mate mateIn2 rookEndgame short
50,2r2Qk1/p2q2p1/1p2p1Np/3p3P/3Pb1P1/2P5/PP3R2/6K1 b - - 4 33,c8f8 f2f8 g8h7 f8h8,844,84,90,329,endgame hookMate mate mateIn2 short
51,r4r1k/ppp2p2/3p1Q2/3P1q1p/3p1P2/5N2/PPP5/1K4RR b - - 0 22,f5f6 h1h5 f6h6 h5h6,967,85,94,702,endgame kingsideAttack mate mateIn2 short
52,1k1rr3/p4ppp/2qN4/P1B5/8/2P1Q3/P4PPP/RN4K1 w - - 5 25,d6e8 d8d1 e3e1 d1e1,939,77,98,1555,mate mateIn2 middlegame short
53,8/8/p2k1p1p/1p1Pb1p1/1P2P1P1/P4K1P/8/2B5 w - - 2 50,f3e3 e5f4 e3d3 f4c1,884,82,90,213,bishopEndgame crushing endgame short skewer
54,8/5p2/2p1p1p1/3pPq1P/kPpP1P2/2P3K1/3Q4/8 b - - 2 56,g6h5 d2a2 a4b5 a2a5,857,88,96,328,endgame mate mateIn2 queenEndgame short
55,3rk2r/p1p1b1pp/8/4p3/8/4Q3/PP1qNPPP/R4RK1 w k - 0 20,f1d1 d2d1 a1d1 d8d1,618,98,96,949,backRankMate mate mateIn2 middlegame short
56,5r1k/6p1/1Q2pq1p/P4r2/3P4/2P1R3/6PP/4R1K1 w - - 1 39,d4d5 f5f1 e1f1 f6f1,653,78,100,207,endgame mate mateIn2 short
57,1r1qnk2/p2p2pp/b1pNp3/4P3/2P2Q2/8/PP2B1PP/6K1 b - - 1 19,f8g8 f4f7 g8h8 f7f8,941,81,94,687,kingsideAttack mate mateIn2 middlegame short
